pid,name,username,cpu_percent,memory_info
4684,svchost.exe,,0.0,"pmem(rss=20344832, vms=4829184, num_page_faults=7327, peak_wset=22016000, wset=20344832, peak_paged_pool=177168, paged_pool=166408, peak_nonpaged_pool=24400, nonpaged_pool=18928, pagefile=4829184, peak_pagefile=5337088, private=4829184)"
4720,OneApp.IGCC.WinService.exe,,0.0,"pmem(rss=48173056, vms=40525824, num_page_faults=46502, peak_wset=65605632, wset=48173056, peak_paged_pool=449024, paged_pool=442912, peak_nonpaged_pool=46480, nonpaged_pool=34256, pagefile=40525824, peak_pagefile=46141440, private=40525824)"
4728,svchost.exe,,0.0,"pmem(rss=10354688, vms=3166208, num_page_faults=5209, peak_wset=11812864, wset=10354688, peak_paged_pool=102888, paged_pool=102264, peak_nonpaged_pool=21528, nonpaged_pool=16624, pagefile=3166208, peak_pagefile=3883008, private=3166208)"
4736,svchost.exe,,0.0,"pmem(rss=47493120, vms=22188032, num_page_faults=87842, peak_wset=92794880, wset=47493120, peak_paged_pool=279448, paged_pool=240272, peak_nonpaged_pool=33792, nonpaged_pool=29504, pagefile=22188032, peak_pagefile=69120000, private=22188032)"
4756,FNPLicensingService.exe,,0.0,"pmem(rss=7032832, vms=2207744, num_page_faults=4479, peak_wset=9912320, wset=7032832, peak_paged_pool=88680, paged_pool=86016, peak_nonpaged_pool=15632, nonpaged_pool=12336, pagefile=2207744, peak_pagefile=2809856, private=2207744)"
4764,nvcontainer.exe,,0.0,"pmem(rss=36438016, vms=13086720, num_page_faults=57612, peak_wset=41754624, wset=36438016, peak_paged_pool=322440, paged_pool=294504, peak_nonpaged_pool=49760, nonpaged_pool=36664, pagefile=13086720, peak_pagefile=15638528, private=13086720)"
4772,svchost.exe,,0.0,"pmem(rss=4726784, vms=1392640, num_page_faults=1905, peak_wset=6320128, wset=4726784, peak_paged_pool=65272, paged_pool=63120, peak_nonpaged_pool=9336, nonpaged_pool=7648, pagefile=1392640, peak_pagefile=1609728, private=1392640)"
4780,jhi_service.exe,,0.0,"pmem(rss=5197824, vms=1384448, num_page_faults=2920, peak_wset=7192576, wset=5197824, peak_paged_pool=86968, paged_pool=86472, peak_nonpaged_pool=9416, nonpaged_pool=8736, pagefile=1384448, peak_pagefile=1531904, private=1384448)"
4788,vmware-usbarbitrator64.exe,,0.0,"pmem(rss=9916416, vms=3112960, num_page_faults=6018, peak_wset=11980800, wset=9916416, peak_paged_pool=133712, paged_pool=133200, peak_nonpaged_pool=17320, nonpaged_pool=13056, pagefile=3112960, peak_pagefile=3174400, private=3112960)"
4792,WMIRegistrationService.exe,,0.0,"pmem(rss=10829824, vms=2781184, num_page_faults=5805, peak_wset=14938112, wset=10829824, peak_paged_pool=132816, paged_pool=122704, peak_nonpaged_pool=17656, nonpaged_pool=12968, pagefile=2781184, peak_pagefile=3702784, private=2781184)"
4804,vmnetdhcp.exe,,0.0,"pmem(rss=4034560, vms=8044544, num_page_faults=3936, peak_wset=12406784, wset=4034560, peak_paged_pool=55656, paged_pool=55240, peak_nonpaged_pool=9016, nonpaged_pool=8352, pagefile=8044544, peak_pagefile=8175616, private=8044544)"
